dataset,video_id,source_video_id,source_id,identity_id,manipulation,class,split,original_available,landmark_success_fraction,feature_valid,exclusion_reason,final_model_evaluation,compression,total_frames,native_fps,sampled_frames,frames_with_landmarks,landmark_success_ratio,video_retained,gating_exclusion_reason,in_final_evaluation,filepath
CelebDF,id10_0001,id10_0001,id10_0001,id10,Celeb-real,real,eval_only,True,0.951724,False,feature_computation_failure,False,native,145,30.0,145,138,0.951724,False,retained,False,celebdf_v2/Celeb-real/id10_0001.mp4
CelebDF,id10_0002,id10_0002,id10_0002,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,322,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0002.mp4
CelebDF,id10_0003,id10_0003,id10_0003,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,351,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0003.mp4
CelebDF,id10_0004,id10_0004,id10_0004,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,517,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0004.mp4
CelebDF,id10_0005,id10_0005,id10_0005,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,318,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0005.mp4
CelebDF,id10_0006,id10_0006,id10_0006,id10,Celeb-real,real,eval_only,True,0.936047,False,feature_computation_failure,False,native,172,30.0,172,161,0.936047,False,retained,False,celebdf_v2/Celeb-real/id10_0006.mp4
CelebDF,id10_0007,id10_0007,id10_0007,id10,Celeb-real,real,eval_only,True,0.966667,False,feature_computation_failure,False,native,502,30.0,300,290,0.966667,False,retained,False,celebdf_v2/Celeb-real/id10_0007.mp4
CelebDF,id10_0008,id10_0008,id10_0008,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,380,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0008.mp4
CelebDF,id10_0009,id10_0009,id10_0009,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,535,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0009.mp4
CelebDF,id11_0000,id11_0000,id11_0000,id11,Celeb-real,real,eval_only,True,0.97,False,feature_computation_failure,False,native,373,30.0,300,291,0.97,False,retained,False,celebdf_v2/Celeb-real/id11_0000.mp4
CelebDF,id11_0001,id11_0001,id11_0001,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,441,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0001.mp4
CelebDF,id11_0002,id11_0002,id11_0002,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,357,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0002.mp4
CelebDF,id11_0003,id11_0003,id11_0003,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,313,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0003.mp4
CelebDF,id11_0004,id11_0004,id11_0004,id11,Celeb-real,real,eval_only,True,0.956667,False,feature_computation_failure,False,native,350,30.0,300,287,0.956667,False,retained,False,celebdf_v2/Celeb-real/id11_0004.mp4
CelebDF,id11_0005,id11_0005,id11_0005,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,327,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0005.mp4
CelebDF,id11_0006,id11_0006,id11_0006,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,316,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0006.mp4
CelebDF,id11_0007,id11_0007,id11_0007,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,320,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0007.mp4
CelebDF,id11_0008,id11_0008,id11_0008,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,371,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0008.mp4
CelebDF,id11_0009,id11_0009,id11_0009,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,397,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0009.mp4
CelebDF,id11_0010,id11_0010,id11_0010,id11,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,330,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id11_0010.mp4
CelebDF,id12_0000,id12_0000,id12_0000,id12,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,376,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id12_0000.mp4
CelebDF,id12_0001,id12_0001,id12_0001,id12,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,398,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id12_0001.mp4
CelebDF,id12_0002,id12_0002,id12_0002,id12,Celeb-real,real,eval_only,True,0.993333,False,feature_computation_failure,False,native,364,30.0,300,298,0.993333,False,retained,False,celebdf_v2/Celeb-real/id12_0002.mp4
CelebDF,id12_0003,id12_0003,id12_0003,id12,Celeb-real,real,eval_only,True,0.68,False,feature_computation_failure,False,native,379,30.0,300,204,0.68,False,retained,False,celebdf_v2/Celeb-real/id12_0003.mp4
CelebDF,id12_0004,id12_0004,id12_0004,id12,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,339,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id12_0004.mp4
CelebDF,id12_0005,id12_0005,id12_0005,id12,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,314,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id12_0005.mp4
CelebDF,id12_0006,id12_0006,id12_0006,id12,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,308,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id12_0006.mp4
CelebDF,id13_0000,id13_0000,id13_0000,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,327,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0000.mp4
CelebDF,id13_0001,id13_0001,id13_0001,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,349,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0001.mp4
CelebDF,id13_0002,id13_0002,id13_0002,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,400,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0002.mp4
CelebDF,id13_0003,id13_0003,id13_0003,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,340,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0003.mp4
CelebDF,id13_0004,id13_0004,id13_0004,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,352,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0004.mp4
CelebDF,id13_0005,id13_0005,id13_0005,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,309,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0005.mp4
CelebDF,id13_0006,id13_0006,id13_0006,id13,Celeb-real,real,eval_only,True,0.996667,False,feature_computation_failure,False,native,333,30.0,300,299,0.996667,False,retained,False,celebdf_v2/Celeb-real/id13_0006.mp4
CelebDF,id13_0007,id13_0007,id13_0007,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,452,29.86799491627343,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0007.mp4
CelebDF,id13_0008,id13_0008,id13_0008,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,459,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0008.mp4
CelebDF,id13_0009,id13_0009,id13_0009,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,435,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0009.mp4
CelebDF,id13_0010,id13_0010,id13_0010,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,332,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0010.mp4
CelebDF,id13_0011,id13_0011,id13_0011,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,466,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0011.mp4
CelebDF,id13_0012,id13_0012,id13_0012,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,510,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0012.mp4
CelebDF,id13_0013,id13_0013,id13_0013,id13,Celeb-real,real,eval_only,True,0.993333,True,retained,True,native,459,30.0,300,298,0.993333,True,retained,True,celebdf_v2/Celeb-real/id13_0013.mp4
CelebDF,id13_0014,id13_0014,id13_0014,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,390,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0014.mp4
CelebDF,id13_0015,id13_0015,id13_0015,id13,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,489,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id13_0015.mp4
CelebDF,id16_0000,id16_0000,id16_0000,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,317,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0000.mp4
CelebDF,id16_0001,id16_0001,id16_0001,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,316,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0001.mp4
CelebDF,id16_0002,id16_0002,id16_0002,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,363,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0002.mp4
CelebDF,id16_0003,id16_0003,id16_0003,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,303,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0003.mp4
CelebDF,id16_0004,id16_0004,id16_0004,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,410,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0004.mp4
CelebDF,id16_0005,id16_0005,id16_0005,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,345,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0005.mp4
CelebDF,id16_0006,id16_0006,id16_0006,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,224,30.0,224,224,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0006.mp4
CelebDF,id16_0007,id16_0007,id16_0007,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,284,30.0,284,284,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0007.mp4
CelebDF,id16_0008,id16_0008,id16_0008,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,337,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0008.mp4
CelebDF,id16_0009,id16_0009,id16_0009,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,315,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0009.mp4
CelebDF,id16_0010,id16_0010,id16_0010,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,325,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0010.mp4
CelebDF,id16_0011,id16_0011,id16_0011,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,272,30.0,272,272,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0011.mp4
CelebDF,id16_0012,id16_0012,id16_0012,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,308,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0012.mp4
CelebDF,id16_0013,id16_0013,id16_0013,id16,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,311,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id16_0013.mp4
CelebDF,id17_0000,id17_0000,id17_0000,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,305,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0000.mp4
CelebDF,id17_0001,id17_0001,id17_0001,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,315,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0001.mp4
CelebDF,id17_0002,id17_0002,id17_0002,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,334,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0002.mp4
CelebDF,id17_0003,id17_0003,id17_0003,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,247,30.0,247,247,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0003.mp4
CelebDF,id17_0004,id17_0004,id17_0004,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,306,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0004.mp4
CelebDF,id17_0005,id17_0005,id17_0005,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,312,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0005.mp4
CelebDF,id17_0006,id17_0006,id17_0006,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,201,30.0,201,201,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0006.mp4
CelebDF,id17_0007,id17_0007,id17_0007,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,274,30.0,274,274,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0007.mp4
CelebDF,id17_0008,id17_0008,id17_0008,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,269,30.0,269,269,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0008.mp4
CelebDF,id17_0009,id17_0009,id17_0009,id17,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,298,30.0,298,298,1.0,True,retained,True,celebdf_v2/Celeb-real/id17_0009.mp4
CelebDF,id19_0000,id19_0000,id19_0000,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,327,29.799996759769297,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0000.mp4
CelebDF,id19_0001,id19_0001,id19_0001,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,335,29.558997405867093,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0001.mp4
CelebDF,id19_0002,id19_0002,id19_0002,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,320,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0002.mp4
CelebDF,id19_0003,id19_0003,id19_0003,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,337,29.70000352522297,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0003.mp4
CelebDF,id19_0004,id19_0004,id19_0004,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,323,29.5999877812228,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0004.mp4
CelebDF,id19_0005,id19_0005,id19_0005,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,322,29.70001752485506,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0005.mp4
CelebDF,id19_0006,id19_0006,id19_0006,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,338,29.800010775809287,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0006.mp4
CelebDF,id19_0007,id19_0007,id19_0007,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,328,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0007.mp4
CelebDF,id19_0008,id19_0008,id19_0008,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,324,28.75699941026455,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0008.mp4
CelebDF,id19_0009,id19_0009,id19_0009,id19,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,341,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id19_0009.mp4
CelebDF,id1_0000,id1_0000,id1_0000,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,371,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0000.mp4
CelebDF,id1_0001,id1_0001,id1_0001,id1,Celeb-real,real,eval_only,True,0.985507,True,retained,True,native,276,30.0,276,272,0.985507,True,retained,True,celebdf_v2/Celeb-real/id1_0001.mp4
CelebDF,id1_0002,id1_0002,id1_0002,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,400,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0002.mp4
CelebDF,id1_0003,id1_0003,id1_0003,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,451,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0003.mp4
CelebDF,id1_0004,id1_0004,id1_0004,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,409,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0004.mp4
CelebDF,id1_0005,id1_0005,id1_0005,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,422,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0005.mp4
CelebDF,id1_0006,id1_0006,id1_0006,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,505,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0006.mp4
CelebDF,id1_0007,id1_0007,id1_0007,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,328,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0007.mp4
CelebDF,id1_0008,id1_0008,id1_0008,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,519,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0008.mp4
CelebDF,id1_0009,id1_0009,id1_0009,id1,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,412,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id1_0009.mp4
CelebDF,id20_0000,id20_0000,id20_0000,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,315,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0000.mp4
CelebDF,id20_0001,id20_0001,id20_0001,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,306,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0001.mp4
CelebDF,id20_0002,id20_0002,id20_0002,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,311,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0002.mp4
CelebDF,id20_0003,id20_0003,id20_0003,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,337,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0003.mp4
CelebDF,id20_0004,id20_0004,id20_0004,id20,Celeb-real,real,eval_only,True,0.996667,True,retained,True,native,325,30.0,300,299,0.996667,True,retained,True,celebdf_v2/Celeb-real/id20_0004.mp4
CelebDF,id20_0005,id20_0005,id20_0005,id20,Celeb-real,real,eval_only,True,0.996667,False,feature_computation_failure,False,native,324,30.0,300,299,0.996667,False,retained,False,celebdf_v2/Celeb-real/id20_0005.mp4
CelebDF,id20_0006,id20_0006,id20_0006,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,328,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0006.mp4
CelebDF,id20_0007,id20_0007,id20_0007,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,347,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0007.mp4
CelebDF,id20_0008,id20_0008,id20_0008,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,338,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0008.mp4
CelebDF,id20_0009,id20_0009,id20_0009,id20,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,334,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id20_0009.mp4
CelebDF,id21_0000,id21_0000,id21_0000,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,234,30.0,234,234,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0000.mp4
CelebDF,id21_0001,id21_0001,id21_0001,id21,Celeb-real,real,eval_only,True,0.965649,True,retained,True,native,262,30.0,262,253,0.965649,True,retained,True,celebdf_v2/Celeb-real/id21_0001.mp4
CelebDF,id21_0002,id21_0002,id21_0002,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,334,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0002.mp4
CelebDF,id21_0003,id21_0003,id21_0003,id21,Celeb-real,real,eval_only,True,0.994382,True,retained,True,native,178,30.0,178,177,0.994382,True,retained,True,celebdf_v2/Celeb-real/id21_0003.mp4
CelebDF,id21_0004,id21_0004,id21_0004,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,225,30.0,225,225,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0004.mp4
CelebDF,id21_0005,id21_0005,id21_0005,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,165,30.0,165,165,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0005.mp4
CelebDF,id21_0006,id21_0006,id21_0006,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,359,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0006.mp4
CelebDF,id21_0007,id21_0007,id21_0007,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,317,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0007.mp4
CelebDF,id21_0008,id21_0008,id21_0008,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,322,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0008.mp4
CelebDF,id21_0009,id21_0009,id21_0009,id21,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,319,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id21_0009.mp4
CelebDF,id22_0000,id22_0000,id22_0000,id22,Celeb-real,real,eval_only,True,0.984925,False,feature_computation_failure,False,native,199,30.0,199,196,0.984925,False,retained,False,celebdf_v2/Celeb-real/id22_0000.mp4
CelebDF,id22_0001,id22_0001,id22_0001,id22,Celeb-real,real,eval_only,True,0.993333,False,feature_computation_failure,False,native,310,30.0,300,298,0.993333,False,retained,False,celebdf_v2/Celeb-real/id22_0001.mp4
CelebDF,id22_0002,id22_0002,id22_0002,id22,Celeb-real,real,eval_only,True,0.992933,False,feature_computation_failure,False,native,283,30.0,283,281,0.992933,False,retained,False,celebdf_v2/Celeb-real/id22_0002.mp4
CelebDF,id22_0003,id22_0003,id22_0003,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,273,30.0,273,273,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0003.mp4
CelebDF,id22_0004,id22_0004,id22_0004,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,312,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0004.mp4
CelebDF,id22_0005,id22_0005,id22_0005,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,365,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0005.mp4
CelebDF,id22_0006,id22_0006,id22_0006,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,333,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0006.mp4
CelebDF,id22_0007,id22_0007,id22_0007,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,333,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0007.mp4
CelebDF,id22_0008,id22_0008,id22_0008,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,325,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0008.mp4
CelebDF,id22_0009,id22_0009,id22_0009,id22,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,332,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id22_0009.mp4
CelebDF,id23_0000,id23_0000,id23_0000,id23,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,318,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id23_0000.mp4
CelebDF,id23_0001,id23_0001,id23_0001,id23,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,309,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id23_0001.mp4
CelebDF,id23_0002,id23_0002,id23_0002,id23,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,319,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id23_0002.mp4
CelebDF,id23_0003,id23_0003,id23_0003,id23,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,186,30.0,186,186,1.0,True,retained,True,celebdf_v2/Celeb-real/id23_0003.mp4
CelebDF,id23_0004,id23_0004,id23_0004,id23,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,307,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id23_0004.mp4
