claim_id,manuscript_location,value,source_file,config_hash,commit,status,reason
R2-020,Table 6 :: youtube_real_included,True,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-021,Tables 4/5/10/16/17/18 (Option B rerun) :: change_table,results/P1_defect001_change_table.csv,results/P1_defect001_change_table.csv,934ecb587a135601,115cc9e,MEASURED,
R2-022,Tables 4/5/10/16/17/18 (Option B rerun) :: conclusion_reversals,9,results/P1_6_conclusion_stability.json,934ecb587a135601,115cc9e,MEASURED,
R2-023,Attrition table (R1-C5) :: CelebDF,"{""real_retention"": 0.8966, ""fake_retention"": 0.944, ""odds_ratio"": 0.5149, ""p_holm"": 1.8352291388162855e-06, ""significant"": true}",results/P2_attrition.json,934ecb587a135601,115cc9e,MEASURED,
R2-024,Attrition table (R1-C5) :: DF40,"{""real_retention"": 1.0, ""fake_retention"": 0.9894, ""odds_ratio"": Infinity, ""p_holm"": 1.0, ""significant"": false}",results/P2_attrition.json,934ecb587a135601,115cc9e,MEASURED,
R2-025,Attrition table (R1-C5) :: FFpp,"{""real_retention"": 0.9565, ""fake_retention"": 0.9574, ""odds_ratio"": 0.979, ""p_holm"": 1.0, ""significant"": false}",results/P2_attrition.json,934ecb587a135601,115cc9e,MEASURED,
R2-026,Attrition table (R1-C5) :: WildDeepfake,"{""real_retention"": 0.5914, ""fake_retention"": 0.8519, ""odds_ratio"": 0.2517, ""p_holm"": 0.0005657315219397275, ""significant"": true}",results/P2_attrition.json,934ecb587a135601,115cc9e,MEASURED,
R2-027,Attrition table (R1-C5) :: named_mechanism,"{""t5_codec_residual"": 540, ""not_reproducible"": 95, ""other_blocks"": 0, ""total"": 635}",results/P2_exclusion_mechanisms.json,934ecb587a135601,115cc9e,MEASURED,
R2-028,Classifier comparison (R1-C6) :: per_target/deepfakes/LR,0.9517,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-029,Classifier comparison (R1-C6) :: per_target/deepfakes/RF,0.9677,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-030,Classifier comparison (R1-C6) :: per_target/deepfakes/LightGBM,0.9706,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-031,Classifier comparison (R1-C6) :: per_target/face2face/LR,0.7791,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-032,Classifier comparison (R1-C6) :: per_target/face2face/RF,0.8177,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-033,Classifier comparison (R1-C6) :: per_target/face2face/LightGBM,0.8096,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-034,Classifier comparison (R1-C6) :: per_target/faceswap/LR,0.9362,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-035,Classifier comparison (R1-C6) :: per_target/faceswap/RF,0.9633,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-036,Classifier comparison (R1-C6) :: per_target/faceswap/LightGBM,0.9631,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-037,Classifier comparison (R1-C6) :: per_target/neuraltextures/LR,0.7622,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-038,Classifier comparison (R1-C6) :: per_target/neuraltextures/RF,0.7556,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-039,Classifier comparison (R1-C6) :: per_target/neuraltextures/LightGBM,0.7867,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-040,Classifier comparison (R1-C6) :: celebdf/LR,0.587,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-041,Classifier comparison (R1-C6) :: celebdf/RF,0.6365,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-042,Classifier comparison (R1-C6) :: celebdf/LightGBM,0.6322,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-043,Classifier comparison (R1-C6) :: mean_ffpp_auc/LR,0.8573,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-044,Classifier comparison (R1-C6) :: mean_ffpp_auc/RF,0.8761,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-045,Classifier comparison (R1-C6) :: mean_ffpp_auc/LightGBM,0.8825,results/P4_classifier_comparison.json,934ecb587a135601,115cc9e,MEASURED,
R2-046,Classifier comparison (R1-C6) :: verdict,LightGBM retained (pre-specified),results/P4_rf_vs_lgbm_delong.json,934ecb587a135601,115cc9e,MEASURED,
R2-047,Table 15 (R1-C3A) :: prism50_auc,0.4862,results/P5_wilddeepfake.json,934ecb587a135601,115cc9e,MEASURED,
R2-048,Table 15 (R1-C3A) :: confidence_interval,UNAVAILABLE,results/P5_wilddeepfake.json,,115cc9e,UNAVAILABLE,"deliberately not reported: controls exceed the measurement, ZERO of 124 sequences yield a complete valid descriptor vector, and the available grouping is degenerate (2 clusters). A CI would imply a precision the measurement does not have."
R2-049,Table 15 (R1-C3A) :: controls,"{""zero_pattern_auc_5foldcv"": 0.496, ""zero_count_auc"": 0.4199, ""zero_count_auc_inverted"": 0.5801, ""n_informative_columns"": 30, ""mean_unavailable_real"": 19.89, ""mean_unavailable_fake"": 18.41}",results/P5_wilddeepfake.json,934ecb587a135601,115cc9e,MEASURED,
R2-050,Table 15 (R1-C3A) :: descriptor_availability_pct,61.9,results/P5_wdf_descriptor_availability.csv,934ecb587a135601,115cc9e,MEASURED,
R2-051,Table 15 (R1-C3A) :: prism53_supplementary,0.5212,results/P0_reproduction_gate.json,934ecb587a135601,115cc9e,MEASURED,
R2-052,DF40 table (R1-C4) :: per_method/inswap,0.7519,results/P6_df40_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-053,DF40 table (R1-C4) :: per_method/facedancer,0.6738,results/P6_df40_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-054,DF40 table (R1-C4) :: per_method/wav2lip,0.5969,results/P6_df40_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-055,DF40 table (R1-C4) :: per_method/sadtalker,0.9709,results/P6_df40_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-056,DF40 table (R1-C4) :: per_method/hyperreenact,0.8649,results/P6_df40_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-057,DF40 table (R1-C4) :: macro_average,0.7717,results/P6_df40_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-058,DF40 table (R1-C4) :: heygen,UNAVAILABLE,results/P6_preregistration.md,,115cc9e,UNAVAILABLE,"NOT EVALUABLE - fake class ships as mp4, real as PNG directories, so the substrate boundary coincides exactly with the class boundary (measured pass rate 0.500). Pre-registered before extraction."
R2-059,DF40 table (R1-C4) :: provenance_confound,0.0108,results/P6_provenance_confound.json,934ecb587a135601,115cc9e,MEASURED,
R2-060,Table 5 :: published_pooled/POS,0.5178,results/P8_rppg_standalone.json,934ecb587a135601,115cc9e,MEASURED,
R2-061,Table 5 :: published_pooled/POS_CHROM,0.4782,results/P8_rppg_standalone.json,934ecb587a135601,115cc9e,MEASURED,
R2-062,Table 5 :: published_pooled/CHROM,0.4663,results/P8_rppg_standalone.json,934ecb587a135601,115cc9e,MEASURED,
R2-063,Table 5 :: per_manipulation,"{""deepfakes"": {""current(POS+CHROM)"": {""train_only"": {""auc"": 0.5908, ""macro_f1"": 0.5761, ""mcc"": 0.1537, ""n"": 274}, ""train_val"": {""auc"": 0.5929, ""macro_f1"": 0.573, ""mcc"": 0.146, ""n"": 274}}, ""POS"": {""train_only"": {""auc"": 0.5544, ""macro_f1"": 0.5435, ""mcc"": 0.0877, ""n"": 274}, ""train_val"": {""auc"": 0.5292, ""macro_f1"": 0.5438, ""mcc"": 0.0876, ""n"": 274}}, ""CHROM"": {""train_only"": {""auc"": 0.5822, ""macro_f1"": 0.5609, ""mcc"": 0.1247, ""n"": 274}, ""train_val"": {""auc"": 0.5824, ""macro_f1"": 0.5365, ""mcc"": 0.073, ""n"": 274}}}, ""face2face"": {""current(POS+CHROM)"": {""train_only"": {""auc"": 0.6876, ""macro_f1"": 0.6095, ""mcc"": 0.219, ""n"": 274}, ""train_val"": {""auc"": 0.6731, ""macro_f1"": 0.6131, ""mcc"": 0.2263, ""n"": 274}}, ""POS"": {""train_only"": {""auc"": 0.6659, ""macro_f1"": 0.6057, ""mcc"": 0.2119, ""n"": 274}, ""train_val"": {""auc"": 0.6537, ""macro_f1"": 0.5839, ""mcc"": 0.168, ""n"": 274}}, ""CHROM"": {""train_only"": {""auc"": 0.7055, ""macro_f1"": 0.635, ""mcc"": 0.2701, ""n"": 274}, ""train_val"": {""auc"": 0.6733, ""macro_f1"": 0.6241, ""mcc"": 0.2482, ""n"": 274}}}, ""faceswap"": {""current(POS+CHROM)"": {""train_only"": {""auc"": 0.5183, ""macro_f1"": 0.5249, ""mcc"": 0.0512, ""n"": 274}, ""train_val"": {""auc"": 0.5321, ""macro_f1"": 0.5131, ""mcc"": 0.0294, ""n"": 274}}, ""POS"": {""train_only"": {""auc"": 0.5231, ""macro_f1"": 0.5, ""mcc"": 0.0, ""n"": 274}, ""train_val"": {""auc"": 0.5497, ""macro_f1"": 0.5471, ""mcc"": 0.0951, ""n"": 274}}, ""CHROM"": {""train_only"": {""auc"": 0.5332, ""macro_f1"": 0.5312, ""mcc"": 0.0661, ""n"": 274}, ""train_val"": {""auc"": 0.506, ""macro_f1"": 0.4925, ""mcc"": -0.0146, ""n"": 274}}}, ""neuraltextures"": {""current(POS+CHROM)"": {""train_only"": {""auc"": 0.5371, ""macro_f1"": 0.5107, ""mcc"": 0.0219, ""n"": 274}, ""train_val"": {""auc"": 0.5314, ""macro_f1"": 0.5322, ""mcc"": 0.0659, ""n"": 274}}, ""POS"": {""train_only"": {""auc"": 0.5896, ""macro_f1"": 0.54, ""mcc"": 0.0803, ""n"": 274}, ""train_val"": {""auc"": 0.6022, ""macro_f1"": 0.551, ""mcc"": 0.1022, ""n"": 274}}, ""CHROM"": {""train_only"": {""auc"": 0.4954, ""macro_f1"": 0.4854, ""mcc"": -0.0292, ""n"": 274}, ""train_val"": {""auc"": 0.5004, ""macro_f1"": 0.5218, ""mcc"": 0.0438, ""n"": 274}}}}",results/P8_rppg_standalone.json,934ecb587a135601,115cc9e,MEASURED,
R2-064,Table 5 :: celebdf_zeroshot,"{""current(POS+CHROM)"": 0.4924, ""POS"": 0.4902, ""CHROM"": 0.5065}",results/P8_rppg_standalone.json,934ecb587a135601,115cc9e,MEASURED,
R2-065,SHAP faithfulness (R1-C8) :: deepfakes,"{""median_dC_top5"": 0.28836, ""median_dC_random"": 0.01043, ""wilcoxon_p"": 1.3607137866953232e-34, ""rank_biserial"": 0.7828}",results/P9_shap_faithfulness.json,934ecb587a135601,115cc9e,MEASURED,
R2-066,SHAP faithfulness (R1-C8) :: face2face,"{""median_dC_top5"": 0.21515, ""median_dC_random"": 0.02684, ""wilcoxon_p"": 4.224477940841552e-25, ""rank_biserial"": 0.5149}",results/P9_shap_faithfulness.json,934ecb587a135601,115cc9e,MEASURED,
R2-067,SHAP faithfulness (R1-C8) :: faceswap,"{""median_dC_top5"": 0.34232, ""median_dC_random"": 0.01746, ""wilcoxon_p"": 1.131045045668657e-33, ""rank_biserial"": 0.6952}",results/P9_shap_faithfulness.json,934ecb587a135601,115cc9e,MEASURED,
R2-068,SHAP faithfulness (R1-C8) :: neuraltextures,"{""median_dC_top5"": 0.26539, ""median_dC_random"": 0.02988, ""wilcoxon_p"": 6.005115345185926e-39, ""rank_biserial"": 0.7398}",results/P9_shap_faithfulness.json,934ecb587a135601,115cc9e,MEASURED,
R2-069,SHAP faithfulness (R1-C8) :: group_vs_ablation_spearman,"{""deepfakes"": 0.2637, ""face2face"": 0.7549, ""faceswap"": 0.5088, ""neuraltextures"": 0.3152}",results/P9_shap_faithfulness.json,934ecb587a135601,115cc9e,MEASURED,
R2-070,Domain shift (R1-C3B) :: real_vs_fake,"{""CelebDF"": {""real"": 0.5325396205440328, ""fake"": 0.5534689694418532}, ""WildDeepfake"": {""real"": 1.0351474418306663, ""fake"": 1.0032298120830008}}",results/P10_domain_shift.json,934ecb587a135601,115cc9e,MEASURED,
R2-071,Domain shift (R1-C3B) :: worst_family,codec/compression,results/P10_domain_shift.csv,934ecb587a135601,115cc9e,MEASURED,
R2-072,Table 18 :: extraction_s_per_video,48.586,results/P1_6_trainonly/table18_modelsize.json,934ecb587a135601,115cc9e,MEASURED,
R2-073,Table 18 :: rtf,3.196,results/P1_6_trainonly/table18_modelsize.json,934ecb587a135601,115cc9e,MEASURED,
R2-074,Table 18 :: peak_ram_mb,3462.3,results/P1_6_trainonly/table18_modelsize.json,934ecb587a135601,115cc9e,MEASURED,
R2-075,Table 18 :: model_size_kb,600.7,results/P1_6_trainonly/table18_modelsize.json,934ecb587a135601,115cc9e,MEASURED,
R2-076,Table 18 :: inference_ms_per_video,0.151,results/P1_6_trainonly/table18_modelsize.json,934ecb587a135601,115cc9e,MEASURED,
R2-077,Table 19 :: celebdf_full,0.8207,results/P0_reproduction_gate.json,934ecb587a135601,115cc9e,MEASURED,
R2-078,Table 19 :: celebdf_shared_6121,0.8211,results/PD2_xception_rerun.json,934ecb587a135601,115cc9e,MEASURED,
R2-079,Table 19 :: delong_z,15.426,results/PD2_xception_rerun.json,934ecb587a135601,115cc9e,MEASURED,
R2-080,Table 19 :: ffpp_same_protocol,"{""deepfakes"": 0.9939, ""face2face"": 0.9943, ""faceswap"": 0.9937, ""neuraltextures"": 0.9772}",results/PD2b_xception_ffpp.json,934ecb587a135601,115cc9e,MEASURED,
R2-081,Deep baselines (R1-C2) :: lsda,"{""deepfakes"": 0.9947, ""face2face"": 0.9906, ""faceswap"": 0.991, ""neuraltextures"": 0.9666, ""celebdf"": 0.863}",results/PD1_lsda_eval.json,934ecb587a135601,115cc9e,MEASURED,
R2-082,Deep baselines (R1-C2) :: laanet,UNAVAILABLE,DEV-006,,115cc9e,UNAVAILABLE,"NOT in DeepfakeBench (verified: 35 detectors, no laanet); requires the official repository, aarch64 build unverified. Second in the agreed cut order for optional baselines."
R2-083,Deep baselines (R1-C2) :: videomae,UNAVAILABLE,results/P7_1_dfb_probe.json,,115cc9e,UNAVAILABLE,optional; forward pass verified but not trained. First in the agreed cut order for optional baselines.
R2-084,Acquisition/manipulation decomposition (R1-C3) :: cells,"[{""real"": ""FF++ c23 test"", ""fake"": ""FF++ c23 test (all 4)"", ""auc"": 0.8236, ""grouped_ci"": [0.7936, 0.856], ""diagnostic_only"": false}, {""real"": ""FF++ c23 test"", ""fake"": ""Celeb-DF v2"", ""auc"": 0.7152, ""grouped_ci"": [0.6564, 0.7663], ""diagnostic_only"": true}, {""real"": ""Celeb-DF v2"", ""fake"": ""FF++ c23 test (all 4)"", ""auc"": 0.7715, ""grouped_ci"": [0.7372, 0.8072], ""diagnostic_only"": true}, {""real"": ""Celeb-DF v2"", ""fake"": ""Celeb-DF v2"", ""auc"": 0.6322, ""grouped_ci"": [0.608, 0.6538], ""diagnostic_only"": false}]",results/PA_decomposition.json,934ecb587a135601,115cc9e,MEASURED,
R2-085,Acquisition/manipulation decomposition (R1-C3) :: attribution,"{""total_gap"": 0.1914, ""manipulation_shift"": 0.1084, ""acquisition_shift"": 0.0521, ""interaction_residual"": 0.0309, ""additivity_assumed"": true, ""caveat"": ""the two mixed cells are DIAGNOSTIC ONLY and are not detection performance""}",results/PA_decomposition.json,934ecb587a135601,115cc9e,MEASURED,
R2-086,Acquisition/manipulation decomposition (R1-C3) :: df40_acquisition_benefit,0.0558,results/PA_df40_decomposition.json,934ecb587a135601,115cc9e,MEASURED,
R2-087,Acquisition/manipulation decomposition (R1-C3) :: phase10_family_shift,"{""acquisition-sensitive"": 0.6432, ""manipulation-sensitive"": 0.4749, ""other"": 0.4095}",results/PA_df40_decomposition.json,934ecb587a135601,115cc9e,MEASURED,
R2-088,DF40 encoding confound (R1-C4) :: parameters,"{""REAL FF++ c23 pristine"": {""n_sampled"": 30, ""fourcc"": [""h264""], ""fps"": [24.0, 25.0, 30.0], ""n_resolutions"": 8, ""kbps"": {""median"": 514.5, ""p10"": 312.8, ""p90"": 1040.4}, ""bits_per_pixel"": {""median"": 0.0466, ""p10"": 0.0264, ""p90"": 0.0823}}, ""REAL Celeb-DF authentic"": {""n_sampled"": 30, ""fourcc"": [""FMP4""], ""fps"": [30.0], ""n_resolutions"": 12, ""kbps"": {""median"": 1146.8, ""p10"": 898.0, ""p90"": 1687.2}, ""bits_per_pixel"": {""median"": 0.0812, ""p10"": 0.0675, ""p90"": 0.1198}}, ""FAKE DF40 inswap/ff"": {""n_sampled"": 30, ""fourcc"": [""h264""], ""fps"": [24.0, 25.0, 30.0], ""n_resolutions"": 6, ""kbps"": {""median"": 863.7, ""p10"": 522.4, ""p90"": 3301.5}, ""bits_per_pixel"": {""median"": 0.0688, ""p10"": 0.0527, ""p90"": 0.0961}}, ""FAKE DF40 inswap/cdf"": {""n_sampled"": 30, ""fourcc"": [""h264""], ""fps"": [30.0], ""n_resolutions"": 8, ""kbps"": {""median"": 1007.5, ""p10"": 842.1, ""p90"": 1595.7}, ""bits_per_pixel"": {""median"": 0.0733, ""p10"": 0.0595, ""p90"": 0.1122}}, ""FAKE DF40 sadtalker/ff"": {""n_sampled"": 30, ""fourcc"": [""FMP4""], ""fps"": [25.0], ""n_resolutions"": 7, ""kbps"": {""median"": 829.5, ""p10"": 498.8, ""p90"": 1591.8}, ""bits_per_pixel"": {""median"": 0.0726, ""p10"": 0.0443, ""p90"": 0.1135}}, ""FAKE DF40 wav2lip/ff"": {""n_sampled"": 30, ""fourcc"": [""h264""], ""fps"": [24.0, 25.0, 30.0], ""n_resolutions"": 7, ""kbps"": {""median"": 2790.9, ""p10"": 1862.9, ""p90"": 9529.0}, ""bits_per_pixel"": {""median"": 0.2581, ""p10"": 0.1931, ""p90"": 0.3504}}, ""FAKE DF40 facedancer/cdf"": {""n_sampled"": 30, ""fourcc"": [""FMP4""], ""fps"": [30.0], ""n_resolutions"": 1, ""kbps"": {""median"": 446.0, ""p10"": 416.3, ""p90"": 543.3}, ""bits_per_pixel"": {""median"": 0.0567, ""p10"": 0.0529, ""p90"": 0.0691}}, ""FAKE FF++ Deepfakes c23"": {""n_sampled"": 30, ""fourcc"": [""h264""], ""fps"": [24.0, 25.0, 30.0], ""n_resolutions"": 8, ""kbps"": {""median"": 515.6, ""p10"": 314.7, ""p90"": 1044.5}, ""bits_per_pixel"": {""median"": 0.0456, ""p10"": 0.026, ""p90"": 0.0814}}}",results/PB_encoding_parameters.json,934ecb587a135601,115cc9e,MEASURED,
R2-089,DF40 encoding confound (R1-C4) :: not_dominant,-0.1,results/PB_encoding_parameters.json,934ecb587a135601,115cc9e,MEASURED,
R2-090,DF40 encoding confound (R1-C4) :: in_distribution_unaffected,True,results/PB_encoding_parameters.json,934ecb587a135601,115cc9e,MEASURED,
R2-091,DF40 encoding confound (R1-C4) :: chroma_and_gop,RESOLVED at item I1,results/PI1_encoding_chroma_gop.json,934ecb587a135601,115cc9e,MEASURED,
R2-092,Classifier verdicts (R1-C6) :: deepfakes,"{""diff"": -0.0029, ""ci95"": [-0.0126, 0.0068], ""p_delong"": 0.5634644930514234, ""verdict"": ""practically equivalent""}",results/PC_classifier_delong_table.json,934ecb587a135601,115cc9e,MEASURED,
R2-093,Classifier verdicts (R1-C6) :: face2face,"{""diff"": 0.0081, ""ci95"": [-0.0196, 0.0357], ""p_delong"": 0.567254434960647, ""verdict"": ""underpowered""}",results/PC_classifier_delong_table.json,934ecb587a135601,115cc9e,MEASURED,
R2-094,Classifier verdicts (R1-C6) :: faceswap,"{""diff"": 0.0002, ""ci95"": [-0.0105, 0.011], ""p_delong"": 0.9678036019411078, ""verdict"": ""practically equivalent""}",results/PC_classifier_delong_table.json,934ecb587a135601,115cc9e,MEASURED,
R2-095,Classifier verdicts (R1-C6) :: neuraltextures,"{""diff"": -0.0311, ""ci95"": [-0.0637, 0.0015], ""p_delong"": 0.061171691802600625, ""verdict"": ""underpowered""}",results/PC_classifier_delong_table.json,934ecb587a135601,115cc9e,MEASURED,
R2-096,Classifier verdicts (R1-C6) :: celebdf_zeroshot,"{""diff"": 0.0043, ""ci95"": [-0.0079, 0.0165], ""p_delong"": 0.48749936988452025, ""verdict"": ""practically equivalent""}",results/PC_classifier_delong_table.json,934ecb587a135601,115cc9e,MEASURED,
R2-097,Classifier verdicts (R1-C6) :: summary,"3 practically equivalent, 2 underpowered, 0 superior either way",results/PC_classifier_delong_table.json,934ecb587a135601,115cc9e,MEASURED,
R2-098,"DF40 source-matched (R1-C4, PRIMARY) :: primary_macro",0.7741,results/PF_source_matched.json,934ecb587a135601,115cc9e,MEASURED,
R2-099,"DF40 source-matched (R1-C4, PRIMARY) :: sensitivity_pooled",0.7717,results/PF_source_matched.json,934ecb587a135601,115cc9e,MEASURED,
R2-100,"DF40 source-matched (R1-C4, PRIMARY) :: sensitivity_celebdf_reals",0.7637,results/PF_source_matched.json,934ecb587a135601,115cc9e,MEASURED,
R2-101,"DF40 source-matched (R1-C4, PRIMARY) :: move",0.0024,results/PF_source_matched.json,934ecb587a135601,115cc9e,MEASURED,
R2-102,Decomposition confound (R1-C3) :: identity_auc_reals,0.5936,results/PG_dataset_identity_leakage.json,934ecb587a135601,115cc9e,MEASURED,
R2-103,Decomposition confound (R1-C3) :: identity_auc_fakes,0.6749,results/PG_dataset_identity_leakage.json,934ecb587a135601,115cc9e,MEASURED,
R2-104,Decomposition confound (R1-C3) :: verdict,CONFOUNDED,results/PG_dataset_identity_leakage.json,934ecb587a135601,115cc9e,MEASURED,
R2-105,Decomposition confound (R1-C3) :: score_compression,"{""ffpp_separation"": 0.309, ""celebdf_separation"": 0.112}",results/PG_dataset_identity_leakage.json,934ecb587a135601,115cc9e,MEASURED,
R2-106,Common evaluation population (R1-C2) :: intersection,"{""deepfakes"": 267, ""face2face"": 268, ""faceswap"": 269, ""neuraltextures"": 269, ""celebdf"": 6121}",results/PH_common_population.json,934ecb587a135601,115cc9e,MEASURED,
R2-107,Common evaluation population (R1-C2) :: celebdf_note,Xception 0.8207 is over n=6487 while PRISM 0.6322 is over n=6121,results/PH_common_population.json,934ecb587a135601,115cc9e,MEASURED,
R2-108,Encoding characterisation (R1-C4) :: chroma,"{""REAL FF++ c23 pristine"": [""yuv444p""], ""FAKE FF++ Deepfakes c23"": [""yuv444p""], ""REAL Celeb-DF authentic"": [""yuv420p""], ""FAKE Celeb-DF synthesis"": [""yuv420p""], ""FAKE DF40 inswap/ff"": [""yuv420p""], ""FAKE DF40 sadtalker/ff"": [""yuv420p""], ""FAKE DF40 wav2lip/ff"": [""yuv420p""], ""FAKE DF40 inswap/cdf"": [""yuv420p""], ""FAKE DF40 facedancer/cdf"": [""yuv420p""]}",results/PI1_encoding_chroma_gop.json,934ecb587a135601,115cc9e,MEASURED,
R2-109,Encoding characterisation (R1-C4) :: gop,"{""REAL FF++ c23 pristine"": 195.2, ""FAKE FF++ Deepfakes c23"": 195.2, ""REAL Celeb-DF authentic"": 11.7, ""FAKE Celeb-DF synthesis"": 11.7, ""FAKE DF40 inswap/ff"": 168.0, ""FAKE DF40 sadtalker/ff"": 11.6, ""FAKE DF40 wav2lip/ff"": 144.0, ""FAKE DF40 inswap/cdf"": 234.5, ""FAKE DF40 facedancer/cdf"": 11.9}",results/PI1_encoding_chroma_gop.json,934ecb587a135601,115cc9e,MEASURED,
R2-110,Reproducibility statement :: DEFECT-008_extractor_nondeterminism,"{""table7_deepfakes"": {""published"": 0.9706, ""mc_mean"": 0.9718462574346313, ""mc_sd"": 0.0010303053647555103, ""p2_5"": 0.9697831332061497, ""p97_5"": 0.9739381102008753, ""mc_min"": 0.9680731679946134, ""mc_max"": 0.9747503086073392, ""published_percentile_in_mc"": 11.600000000000001, ""published_within_95"": true}, ""table7_face2face"": {""published"": 0.8096, ""mc_mean"": 0.8133802628647806, ""mc_sd"": 0.004881454182435774, ""p2_5"": 0.8037661505903319, ""p97_5"": 0.8232902650924482, ""mc_min"": 0.7956671864557808, ""mc_max"": 0.8275785252840275, ""published_percentile_in_mc"": 22.2, ""published_within_95"": true}, ""table7_faceswap"": {""published"": 0.9631, ""mc_mean"": 0.9632644555002764, ""mc_sd"": 0.0014543864996349712, ""p2_5"": 0.9603620784964069, ""p97_5"": 0.9660876174682145, ""mc_min"": 0.9583195135433941, ""mc_max"": 0.9671088999447207, ""published_percentile_in_mc"": 45.800000000000004, ""published_within_95"": true}, ""table7_neuraltextures"": {""published"": 0.7867, ""mc_mean"": 0.7874698728579326, ""mc_sd"": 0.004390725489878708, ""p2_5"": 0.7781094527363184, ""p97_5"": 0.7957987838584853, ""mc_min"": 0.7716970702045328, ""mc_max"": 0.8018794914317302, ""published_percentile_in_mc"": 40.8, ""published_within_95"": true}, ""table13_celebdf"": {""published"": 0.6322, ""mc_mean"": 0.6322479418535066, ""mc_sd"": 0.0054268408821204, ""p2_5"": 0.6211157002029779, ""p97_5"": 0.6428256026596644, ""mc_min"": 0.6155935583840306, ""mc_max"": 0.645429561128069, ""published_percentile_in_mc"": 50.4, ""published_within_95"": true}}",results/P1_defect008_montecarlo.json,934ecb587a135601,115cc9e,MEASURED,
